n exact chebyshev clt
1 0.851865247795 1 0.841480581122
2 0.783510094398 1 0.77729741079
3 0.733038098058 1 0.729034489539
4 0.691710192091 1 0.689156516779
5 0.656219565137 1 0.654720846019
6 0.624891015457 1 0.624206114766
7 0.596734885554 1 0.596701216729
8 0.571107321044 1 0.571607644953
9 0.547560619858 1 0.5485062355
10 0.525767902944 1 0.527089256866
11 0.50548141882 1 0.50712245536
12 0.486507757195 1 0.488422316623
13 0.468692269266 1 0.470841681991
14 0.451908825669 1 0.454260242567
15 0.436052830237 1 0.438578026081
16 0.421036304944 1 0.423710797167
17 0.406784339836 1 0.409586724121
18 0.39323247013 1 0.396143909152
19 0.380324699732 1 0.383328522648
20 0.368011985833 1 0.371093369523
21 0.356251059037 1 0.359396770821
22 0.345003492067 1 0.348201679413
23 0.334234955583 1 0.337474972266
24 0.323914616872 1 0.32718687779
25 0.314014649065 1 0.317310507863
26 0.304509826857 0.961538461538 0.307821471909
27 0.295377190689 0.925925925926 0.298697555995
28 0.286595765615 0.892857142857 0.289918453943
29 0.278146324267 0.862068965517 0.281465540432
30 0.270011185697 0.833333333333 0.273321678292
31 0.262174043588 0.806451612903 0.265471053824
32 0.254619818733 0.78125 0.257899035292
33 0.24733453167 0.757575757576 0.250592050686
34 0.240305192163 0.735294117647 0.24353748159
35 0.233519702871 0.714285714286 0.236723570638
36 0.226966774999 0.694444444444 0.230139340443
37 0.22063585415 0.675675675676 0.223774522302
38 0.214517054879 0.657894736842 0.217619493247
39 0.208601102728 0.641025641026 0.211665220269
40 0.202879282697 0.625 0.205903210732
41 0.197343393298 0.609756097561 0.200325468131
42 0.191985705452 0.595238095238 0.194924452514
43 0.186798925612 0.581395348837 0.189693044961
44 0.181776162581 0.568181818182 0.184624515623
45 0.176910897591 0.555555555556 0.179712494879
46 0.172196957227 0.54347826087 0.174950947248
47 0.16762848889 0.531914893617 0.170334147738
48 0.163199938499 0.520833333333 0.165856660343
49 0.158906030184 0.510204081633 0.161513318468
50 0.154741747753 0.5 0.15729920705
51 0.150702317745 0.490196078431 0.15320964622
52 0.146783193901 0.480769230769 0.149240176315
53 0.142980042913 0.471698113208 0.145386544136
54 0.139288731315 0.462962962963 0.141644690295
55 0.13570531341 0.454545454545 0.138010737569
56 0.132226020132 0.446428571429 0.134480980144
57 0.128847248748 0.438596491228 0.131051873684
58 0.125565553335 0.431034482759 0.12772002613
59 0.122377635947 0.423728813559 0.124482189177
60 0.119280338418 0.416666666667 0.121335250358
61 0.116270634745 0.409836065574 0.118276225689
62 0.113345623996 0.403225806452 0.11530225282
63 0.110502523707 0.396825396825 0.112410584655
64 0.107738663719 0.390625 0.109598583399
65 0.105051480415 0.384615384615 0.106863714993
66 0.102438511345 0.378787878788 0.104203543916
67 0.0998973901803 0.373134328358 0.101615728311
68 0.0974258419935 0.367647058824 0.0990980154218
69 0.095021678829 0.36231884058 0.0966482373122
70 0.092682795542 0.357142857143 0.0942643068412
71 0.0904071658895 0.352112676056 0.0919442138832
72 0.0881928388516 0.347222222222 0.0896860217704
73 0.0860379351684 0.342465753425 0.0874878639422
74 0.083940644076 0.337837837838 0.0853479407872
75 0.0818992202278 0.333333333333 0.0832645166636
76 0.0799119807879 0.328947368421 0.081235917086
77 0.0779773026864 0.324675324675 0.0792605260676
78 0.0760936200227 0.320512820513 0.0773367836061
79 0.07425942161 0.316455696203 0.075463183305
80 0.0724732486495 0.3125 0.0736382701203
81 0.0707336925272 0.308641975309 0.0718606382259
82 0.069039392725 0.30487804878 0.0701289289878
83 0.0673890348382 0.301204819277 0.0684418290433
84 0.0657813486939 0.297619047619 0.0667980684751
85 0.0642151065638 0.294117647059 0.0651964190781
86 0.0626891214647 0.290697674419 0.06363569271
87 0.0612022455424 0.287356321839 0.062114739723
88 0.0597533685342 0.284090909091 0.0606324474706
89 0.0583414163045 0.280898876404 0.0591877388854
90 0.0569653494494 0.277777777778 0.0577795711236
91 0.0556241619678 0.274725274725 0.0564069342732
92 0.0543168799924 0.271739130435 0.0550688501208
93 0.0530425605807 0.268817204301 0.0537643709751
94 0.0518002905595 0.265957446809 0.0524925785432
95 0.0505891854221 0.263157894737 0.0512525828574
96 0.0494083882741 0.260416666667 0.0500435212487
97 0.0482570688265 0.257731958763 0.0488645573661
98 0.0471344224314 0.255102040816 0.0477148802374
99 0.0460396691612 0.252525252525 0.0465937033711
100 0.0449720529257 0.25 0.0455002638964
101 0.0439308406274 0.247524752475 0.0444338217384
102 0.0429153213529 0.245098039216 0.0433936588293
103 0.0419248055966 0.242718446602 0.042379078351
104 0.0409586245184 0.240384615385 0.0413894040091
105 0.04001612923 0.238095238095 0.0404239793369
106 0.0390966901119 0.235849056604 0.0394821670263
107 0.0381996961569 0.233644859813 0.0385633482868
108 0.0373245543399 0.231481481481 0.0376669222286
109 0.0364706890139 0.229357798165 0.0367923052713
110 0.0356375413282 0.227272727273 0.035938930574
111 0.0348245686703 0.225225225225 0.0351062474893
112 0.0340312441298 0.223214285714 0.0342937210365
113 0.0332570559818 0.221238938053 0.0335008313961
114 0.0325015071912 0.219298245614 0.032727073423
115 0.0317641149352 0.217391304348 0.0319719561776
116 0.0310444101438 0.215517241379 0.031235002475
117 0.0303419370581 0.213675213675 0.0305157484504
118 0.0296562528042 0.21186440678 0.0298137431406
119 0.0289869269835 0.210084033613 0.0291285480809
120 0.0283335412777 0.208333333333 0.0284597369163
121 0.0276956890683 0.206611570248 0.027806895027
122 0.02707297507 0.204918032787 0.0271696191669
123 0.0264650149767 0.20325203252 0.0265475171155
124 0.0258714351213 0.201612903226 0.0259402073412
125 0.0252918721465 0.2 0.0253473186775
126 0.0247259726878 0.198412698413 0.0247684900093
127 0.0241733930673 0.196850393701 0.0242033699713
128 0.0236337989986 0.1953125 0.0236516166554
129 0.0231068653017 0.193798449612 0.0231128973293
130 0.0225922756275 0.192307692308 0.0225868881642
131 0.0220897221924 0.190839694656 0.0220732739712
132 0.0215989055213 0.189393939394 0.0215717479477
133 0.0211195341998 0.187969924812 0.021082011431
134 0.0206513246342 0.186567164179 0.020603773661
135 0.0201940008203 0.185185185185 0.0201367515503
136 0.0197472941194 0.183823529412 0.0196806694623
137 0.019310943042 0.182481751825 0.0192352589958
138 0.0188846930383 0.18115942029 0.018800258777
139 0.0184682962959 0.179856115108 0.018375414259
140 0.0180615115442 0.178571428571 0.0179604775261
141 0.017664103865 0.177304964539 0.0175552071058
142 0.0172758445092 0.176056338028 0.0171593677861
143 0.0168965107193 0.174825174825 0.0167727304391
144 0.0165258855582 0.173611111111 0.0163950718492
145 0.0161637577428 0.172413793103 0.016026174548
146 0.0158099214831 0.171232876712 0.0156658266532
147 0.0154641763265 0.170068027211 0.0153138217134
148 0.015126327007 0.168918918919 0.014969958557
149 0.0147961832992 0.167785234899 0.0146340411462
150 0.0144735598766 0.166666666667 0.0143058784354
151 0.0141582761744 0.165562913907 0.0139852842339
152 0.0138501562568 0.164473684211 0.0136720770727
153 0.0135490286882 0.16339869281 0.0133660800754
154 0.0132547264085 0.162337662338 0.0130671208332
155 0.0129670866118 0.161290322581 0.0127750312831
156 0.0126859506292 0.160256410256 0.0124896475905
157 0.0124111638154 0.15923566879 0.0122108100348
158 0.012142575438 0.158227848101 0.0119383628984
159 0.0118800385707 0.157232704403 0.0116721543591
160 0.0116234099897 0.15625 0.011412036386
161 0.0113725500727 0.155279503106 0.0111578646377
162 0.0111273227018 0.154320987654 0.0109094983643
163 0.010887595168 0.153374233129 0.0106668003115
164 0.0106532380802 0.15243902439 0.0104296366282
165 0.0104241252752 0.151515151515 0.0101978767762
166 0.0102001337315 0.150602409639 0.00997139344314
167 0.00998114348519 0.149700598802 0.00975006245689
168 0.00976703754821 0.14880952381 0.00953376270362
169 0.00955770182935 0.147928994083 0.00932237604744
170 0.00935302505719 0.147058823529 0.00911578725251
171 0.00915289870542 0.146198830409 0.00891388390744
172 0.0089572169203 0.145348837209 0.00871655635175
173 0.00876587645021 0.14450867052 0.00852369760443
174 0.00857877657721 0.14367816092 0.00833520329449
175 0.00839581905056 0.142857142857 0.0081509715935
176 0.00821690802209 0.142045454545 0.00797090314998
177 0.0080419499835 0.141242937853 0.0077949010256
178 0.00787085370534 0.140449438202 0.00762287063321
179 0.00770353017776 0.139664804469 0.00745471967652
180 0.00753989255292 0.138888888889 0.00729035809154
181 0.007379856089 0.138121546961 0.00712969798947
182 0.00722333809582 0.137362637363 0.00697265360139
183 0.00707025788192 0.136612021858 0.0068191412242
184 0.00692053670314 0.135869565217 0.0066690791683
185 0.00677409771267 0.135135135135 0.00652238770647
186 0.00663086591236 0.134408602151 0.00637898902427
187 0.00649076810554 0.133689839572 0.00623880717178
188 0.00635373285098 0.132978723404 0.00610176801655
189 0.00621969041825 0.132275132275 0.00596779919796
190 0.00608857274417 0.131578947368 0.00583683008265
191 0.00596031339059 0.130890052356 0.00570879172128
192 0.00583484750318 0.130208333333 0.00558361680638
193 0.00571211177147 0.129533678756 0.00546123963132
194 0.00559204438987 0.128865979381 0.00534159605043
195 0.0054745850198 0.128205128205 0.00522462344006
196 0.00535967475282 0.127551020408 0.00511026066086
197 0.00524725607478 0.126903553299 0.00499844802084
198 0.00513727283089 0.126262626263 0.00488912723961
199 0.00502967019177 0.125628140704 0.00478224141339
200 0.00492439462034 0.125 0.00467773498105
